city,aqi
Beijing,433
Delhi,267
London,402
Tokyo,76
Delhi,375
Mexico City,95
Delhi,409
Mexico City,120
Delhi,271
Mexico City,365
Los Angeles,12
Los Angeles,92
Delhi,110
Tokyo,103
Delhi,393
Delhi,489
Mexico City,208
Beijing,378
London,112
London,190
Beijing,82
Cairo,292
Delhi,144
Beijing,233
Delhi,336
Tokyo,308
Delhi,222
Delhi,476
Beijing,444
São Paulo,392
Tokyo,16
Los Angeles,261
Tokyo,492
Tokyo,73
Beijing,279
Beijing,31
Los Angeles,357
Mexico City,243
Beijing,121
Delhi,33
Los Angeles,56
Delhi,490
Tokyo,426
Delhi,252
Delhi,471
London,80
Delhi,34
Delhi,116
Mexico City,220
London,113
Delhi,479
Beijing,256
Los Angeles,118
Cairo,220
Beijing,494
Delhi,313
Delhi,50
Delhi,200
Delhi,450
Mexico City,337
Delhi,311
Beijing,188
Mexico City,456
Mexico City,153
Delhi,95
London,20
Los Angeles,375
Los Angeles,397
Delhi,19
Delhi,251
Tokyo,121
Beijing,99
Beijing,449
Beijing,229
Mexico City,336
Cairo,164
Delhi,339
Tokyo,107
Delhi,214
Mexico City,332
Mexico City,94
Delhi,232
Delhi,262
Beijing,215
Cairo,129
Mexico City,234
Tokyo,126
London,326
Beijing,147
Los Angeles,399
Delhi,152
Delhi,231
London,251
Los Angeles,271
Delhi,76
Beijing,322
Mexico City,262
London,87
Mexico City,316
Beijing,385
Beijing,244
Beijing,16
Mexico City,339
London,118
Beijing,307
Delhi,492
Delhi,162
Los Angeles,312
London,426
Delhi,210
Delhi,204
Mexico City,368
Delhi,491
London,195
Beijing,257
Delhi,180
Tokyo,105
Delhi,375
Delhi,11
Delhi,233
Delhi,354
Delhi,235
Delhi,51
Delhi,55
Delhi,179
Mexico City,412
Mexico City,139
Beijing,173
Beijing,444
Beijing,282
London,459
London,204
Delhi,261
Delhi,304
Delhi,398
Delhi,263
Mexico City,203
Beijing,479
Delhi,157
Beijing,478
Beijing,347
Delhi,85
London,337
Delhi,446
Tokyo,66
Delhi,219
London,442
Tokyo,234
Cairo,269
London,369
Los Angeles,33
Mexico City,253
Los Angeles,17
Delhi,359
Beijing,263
Beijing,209
London,205
Beijing,361
Beijing,403
Mexico City,245
Delhi,418
Delhi,55
Beijing,402
Beijing,299
Delhi,96
Beijing,337
Beijing,348
Beijing,123
Beijing,483
Mexico City,333
Delhi,75
Tokyo,497
Tokyo,404
Beijing,241
Beijing,446
Beijing,156
London,100
Mexico City,85
London,350
Beijing,98
Mexico City,111
Delhi,113
Los Angeles,308
Delhi,180
Mexico City,215
London,12
Delhi,219
Mexico City,238
Delhi,63
Los Angeles,443
Delhi,479
Tokyo,233
Delhi,13
Cairo,254
London,38
Mexico City,285
Los Angeles,113
Los Angeles,487
Tokyo,252
Delhi,145
Mexico City,317
Delhi,479
Mexico City,109
Delhi,381
Mexico City,459
Mexico City,221
Beijing,464
Beijing,421
Los Angeles,259
Los Angeles,477
Beijing,88
Mexico City,469
Tokyo,153
Delhi,225
Delhi,149
Delhi,454
Mexico City,143
Beijing,351
Los Angeles,263
Mexico City,38
Beijing,382
Tokyo,18
Los Angeles,90
Delhi,199
Beijing,218
Beijing,322
Delhi,30
Delhi,447
Tokyo,23
Beijing,18
Beijing,369
Los Angeles,135
Mexico City,123
Tokyo,373
Los Angeles,302
Beijing,181
Beijing,157
São Paulo,301
Los Angeles,430
Cairo,199
Delhi,215
London,103
Mexico City,265
Delhi,30
Mexico City,406
Mexico City,268
Delhi,144
Beijing,92
London,132
Delhi,34
Beijing,477
Beijing,154
Beijing,461
Tokyo,463
Los Angeles,7
Delhi,280
São Paulo,396
London,119
Delhi,489
London,309
Delhi,392
São Paulo,385
Mexico City,70
Mexico City,425
Delhi,60
Tokyo,495
Delhi,314
Delhi,308
Delhi,475
Los Angeles,216
Delhi,249
Tokyo,339
Mexico City,111
Delhi,55
Delhi,490
Delhi,368
Mexico City,285
London,139
Delhi,399
London,333
Delhi,215
London,232
Tokyo,473
Los Angeles,126
Mexico City,37
London,384
Delhi,112
Delhi,438
Delhi,298
Beijing,285
Los Angeles,121
Mexico City,419
London,384
Delhi,419
Los Angeles,267
Delhi,121
Delhi,285
Los Angeles,304
São Paulo,97
Mexico City,496
Delhi,206
Mexico City,57
Delhi,382
Tokyo,323
Los Angeles,30
Delhi,183
Delhi,50
Delhi,193
São Paulo,26
Beijing,30
Los Angeles,408
Mexico City,140
Mexico City,366
Delhi,427
Tokyo,342
Beijing,29
Mexico City,410
Mexico City,153
Mexico City,337
Tokyo,493
Delhi,27
Beijing,72
Beijing,417
Beijing,381
Delhi,470
Delhi,497
Delhi,35
Beijing,444
Beijing,99
Mexico City,427
Mexico City,315
Beijing,498
Beijing,490
Delhi,136
Mexico City,260
Beijing,480
Delhi,388
Beijing,270
Beijing,357
Delhi,53
Mexico City,362
Mexico City,432
Los Angeles,218
Mexico City,65
Mexico City,49
Beijing,88
Los Angeles,292
Beijing,0
Beijing,499
Mexico City,188
Beijing,245
Beijing,208
Los Angeles,345
Tokyo,129
Tokyo,432
Beijing,410
Beijing,379
Los Angeles,440
Beijing,380
London,147
Beijing,337
Delhi,259
Delhi,342
London,470
Delhi,38
Delhi,90
Beijing,473
Delhi,109
Beijing,244
Los Angeles,188
Delhi,414
London,120
London,77
Beijing,18
Delhi,155
Mexico City,449
Delhi,423
Beijing,26
Cairo,488
São Paulo,182
Los Angeles,67
Beijing,47
Mexico City,145
Los Angeles,173
Beijing,318
Mexico City,54
Delhi,255
Delhi,55
Beijing,310
Delhi,320
Delhi,343
London,221
São Paulo,211
Mexico City,136
London,463
São Paulo,477
Delhi,51
Beijing,485
Beijing,276
Delhi,306
Los Angeles,337
Beijing,101
Beijing,470
Delhi,465
Delhi,204
Tokyo,183
Delhi,449
Delhi,242
Delhi,135
Beijing,368
Mexico City,8
Beijing,370
Delhi,329
Delhi,229
London,275
Mexico City,269
Mexico City,121
Mexico City,486
Los Angeles,250
Delhi,247
Beijing,304
Beijing,353
Beijing,234
London,106
Beijing,205
Los Angeles,309
London,123
Beijing,89
Tokyo,74
Mexico City,183
London,390
Beijing,224
Beijing,153
Beijing,335
Delhi,395
Beijing,40
Tokyo,470
Mexico City,50
Delhi,361
Beijing,26
Delhi,150
Delhi,190
Tokyo,98
Beijing,100
Beijing,181
Mexico City,384
Delhi,245
Delhi,412
Los Angeles,404
Mexico City,122
São Paulo,223
Mexico City,307
Beijing,138
Los Angeles,244
Tokyo,148
Los Angeles,100
Cairo,36
Los Angeles,318
London,240
Delhi,368
Los Angeles,33
Beijing,418
Mexico City,478
Mexico City,151
Cairo,487
São Paulo,77
Delhi,265
Los Angeles,465
Los Angeles,215
Beijing,465
Delhi,101
Delhi,142
Los Angeles,321
Beijing,28
São Paulo,119
Beijing,354
Cairo,66
Beijing,182
Los Angeles,278
Delhi,379
Mexico City,260
London,35
Tokyo,295
London,229
Delhi,197
Beijing,166
Delhi,408
Delhi,321
Mexico City,17
Los Angeles,354
Los Angeles,145
London,474
Los Angeles,225
London,173
Delhi,61
Delhi,64
Mexico City,370
London,480
Delhi,198
Beijing,285
Mexico City,477
Delhi,466
Beijing,344
Tokyo,415
Mexico City,258
Delhi,245
London,219
Beijing,44
London,303
Delhi,149
Mexico City,358
Beijing,349
Delhi,161
Tokyo,367
Delhi,86
Delhi,125
Beijing,341
Los Angeles,320
London,438
São Paulo,51
Delhi,351
Beijing,106
Delhi,171
Mexico City,61
São Paulo,156
Los Angeles,101
Mexico City,260
Beijing,82
Tokyo,289
Beijing,359
Delhi,199
Beijing,457
Delhi,64
Delhi,483
Delhi,299
Beijing,195
Mexico City,14
Beijing,429
Beijing,471
Cairo,45
Los Angeles,132
Beijing,284
Delhi,167
Tokyo,302
Delhi,294
Beijing,205
Tokyo,364
Beijing,11
Los Angeles,315
Mexico City,165
Mexico City,110
Delhi,2
Delhi,14
Beijing,404
Delhi,420
London,499
Delhi,437
Mexico City,103
Los Angeles,103
Los Angeles,385
Beijing,237
Beijing,445
São Paulo,21
Mexico City,144
London,101
Tokyo,324
Los Angeles,367
Delhi,124
Mexico City,414
Delhi,33
Mexico City,4
Cairo,288
Beijing,475
Beijing,145
Delhi,293
Cairo,431
Delhi,50
Delhi,479
Delhi,310
Delhi,88
Beijing,254
Beijing,75
Beijing,15
Delhi,100
Delhi,431
Beijing,232
Delhi,171
Mexico City,159
Delhi,463
Beijing,320
Beijing,488
Beijing,232
Delhi,372
Delhi,10
London,340
Delhi,374
Beijing,439
Beijing,176
Beijing,279
Beijing,331
Los Angeles,367
London,420
Delhi,171
Beijing,54
Delhi,480
Beijing,297
Mexico City,82
Delhi,466
Beijing,492
Tokyo,67
Delhi,459
Beijing,303
Los Angeles,88
Delhi,108
Delhi,98
Delhi,213
Tokyo,401
Delhi,365
Delhi,219
Delhi,420
Delhi,483
Mexico City,462
Delhi,117
Mexico City,401
Mexico City,87
London,434
Delhi,149
London,45
Mexico City,1
Delhi,350
Los Angeles,129
London,348
Delhi,172
Tokyo,43
Beijing,186
Mexico City,168
São Paulo,214
Beijing,176
London,193
Beijing,323
Los Angeles,197
Mexico City,271
Delhi,117
Beijing,468
Beijing,481
Delhi,71
Delhi,425
Beijing,296
Delhi,402
Delhi,66
Los Angeles,346
Los Angeles,429
Los Angeles,176
Beijing,190
Tokyo,488
Mexico City,139
Delhi,402
Delhi,141
Mexico City,241
Delhi,59
Beijing,448
São Paulo,104
Delhi,350
Delhi,192
São Paulo,80
Mexico City,17
Delhi,67
Tokyo,253
Tokyo,93
Beijing,92
Mexico City,476
Delhi,275
Delhi,33
Mexico City,68
Delhi,262
Mexico City,128
London,109
Delhi,395
Mexico City,233
Delhi,497
London,336
Delhi,174
Mexico City,404
Mexico City,236
Beijing,371
Mexico City,220
Los Angeles,0
Mexico City,179
Los Angeles,105
São Paulo,129
Beijing,195
Beijing,321
Delhi,411
Los Angeles,117
Beijing,296
Beijing,224
Delhi,29
Tokyo,197
Beijing,359
Mexico City,373
Delhi,384
Cairo,408
Delhi,261
Delhi,10
London,184
Tokyo,283
Delhi,130
Beijing,57
Los Angeles,184
London,44
Beijing,402
Beijing,169
Los Angeles,298
Los Angeles,35
Los Angeles,235
Mexico City,464
Delhi,125
Tokyo,346
London,177
Los Angeles,322
Delhi,491
Delhi,84
Los Angeles,62
Delhi,425
Cairo,254
Beijing,130
Los Angeles,288
Tokyo,131
Beijing,223
Beijing,445
Mexico City,178
Mexico City,312
Beijing,460
Mexico City,333
Tokyo,199
Beijing,486
Delhi,222
Beijing,199
Beijing,314
Delhi,137
Delhi,244
Mexico City,133
Beijing,30
Cairo,99
Delhi,343
Delhi,418
Los Angeles,100
Tokyo,144
Delhi,77
Delhi,58
Delhi,96
Beijing,387
Beijing,380
Delhi,481
Delhi,10
Beijing,383
Cairo,292
Mexico City,166
Beijing,83
Delhi,86
Delhi,254
Delhi,393
Los Angeles,66
London,331
Tokyo,79
São Paulo,98
São Paulo,13
Cairo,473
Delhi,152
Delhi,296
Beijing,75
Mexico City,295
Delhi,349
London,198
Mexico City,289
Beijing,102
Delhi,220
Delhi,291
Delhi,43
London,210
Mexico City,191
Los Angeles,81
Delhi,45
Beijing,9
Beijing,181
Los Angeles,442
Los Angeles,359
Delhi,465
Tokyo,255
Delhi,50
Tokyo,247
Delhi,146
Delhi,309
London,362
Delhi,472
Beijing,323
Beijing,300
Delhi,198
Los Angeles,97
London,161
London,288
Beijing,493
Beijing,301
Delhi,55
Delhi,57
Delhi,410
Tokyo,420
Tokyo,192
Los Angeles,149
Beijing,6
Beijing,401
Beijing,399
Beijing,324
Beijing,487
Delhi,95
Delhi,414
Cairo,484
Beijing,310
Cairo,328
Delhi,372
Mexico City,175
Delhi,139
Delhi,328
Delhi,138
Delhi,382
Tokyo,429
Beijing,258
Mexico City,295
Beijing,46
Beijing,223
Beijing,497
Delhi,315
São Paulo,38
London,190
Los Angeles,351
Beijing,450
Delhi,365
Tokyo,145
Beijing,124
Delhi,80
Beijing,350
Los Angeles,90
Mexico City,326
Los Angeles,462
Los Angeles,333
Delhi,153
Tokyo,114
Beijing,488
Mexico City,65
Delhi,20
São Paulo,254
Delhi,24
Delhi,408
Beijing,410
Delhi,67
Delhi,202
Mexico City,467
Beijing,351
Tokyo,61
Beijing,296
Los Angeles,270
Beijing,343
Mexico City,443
Mexico City,262
Beijing,474
Cairo,351
Beijing,27
Delhi,284
Mexico City,200
London,201
Delhi,349
Beijing,348
Tokyo,202
Los Angeles,60
São Paulo,47
Beijing,133
Mexico City,373
Beijing,93
Tokyo,429
Beijing,420
Los Angeles,257
Beijing,311
Mexico City,365
Los Angeles,0
Beijing,237
Tokyo,412
Beijing,471
Mexico City,137
Beijing,247
Beijing,5
Beijing,68
Delhi,40
Delhi,172
Mexico City,277
Mexico City,159
Mexico City,91
Delhi,435
Beijing,314
Delhi,395
Los Angeles,427
London,434
Delhi,204
Mexico City,350
Delhi,435
Delhi,381
Delhi,106
Delhi,460
Mexico City,320
Tokyo,70
Delhi,446
Beijing,397
Los Angeles,274
Cairo,177
Mexico City,390
Delhi,292
Mexico City,302
Beijing,29
Cairo,80
Beijing,163
Mexico City,459
Delhi,345
Beijing,102
London,440
Mexico City,392
Beijing,39
Tokyo,46
London,187
Beijing,244
Beijing,382
Beijing,291
Mexico City,170
Beijing,337
Delhi,332
Tokyo,350
Tokyo,305
London,27
Cairo,463
Los Angeles,161
Los Angeles,406
Los Angeles,334
Beijing,312
Beijing,187
Delhi,387
Mexico City,223
Delhi,127
Delhi,49
Mexico City,50
Beijing,300
Delhi,216
London,163
London,250
Delhi,56
Delhi,443
Beijing,252
Los Angeles,460
London,201
Delhi,148
Los Angeles,315
Delhi,17
Beijing,114
São Paulo,253
Delhi,75
Delhi,494
Beijing,171
Mexico City,361
Tokyo,459
São Paulo,32
Delhi,106
Delhi,36
Los Angeles,147
Delhi,287
Tokyo,392
Mexico City,211
Delhi,379
London,413
Delhi,197
Beijing,168
Mexico City,405
Beijing,119
Mexico City,373
Mexico City,328
São Paulo,142
São Paulo,98
Beijing,310
Delhi,343
Los Angeles,130
Cairo,320
Beijing,260
Beijing,3
Beijing,221
Delhi,126
Mexico City,238
Beijing,61
Los Angeles,477
London,38
London,396
Beijing,118
Beijing,309
Los Angeles,63
London,25
Beijing,464
Tokyo,63
Delhi,290
London,319
Delhi,110
Delhi,459
Beijing,401
Delhi,24
Delhi,14
Delhi,494
Beijing,55
Los Angeles,235
Delhi,383
Mexico City,190
London,478
Delhi,341
Delhi,376
London,494
London,63
Beijing,102
London,51
Delhi,481
Beijing,275
Los Angeles,62
Delhi,146
Los Angeles,405
Beijing,263
Los Angeles,351
Beijing,244
Beijing,243
Delhi,441
Delhi,273
Los Angeles,372
Delhi,488
Delhi,228
Delhi,382
Delhi,446
London,494
Beijing,207
São Paulo,56
Delhi,450
Mexico City,198
Beijing,37
Beijing,124
London,431
Cairo,163
London,303
Delhi,483
Delhi,342
Mexico City,276
Delhi,177
Los Angeles,416
Mexico City,377
Mexico City,4
London,217
Los Angeles,261
Delhi,173
Delhi,478
Mexico City,482
Beijing,170
Delhi,2
Beijing,247
Los Angeles,330
London,149
Mexico City,341
Beijing,355
Delhi,10
Beijing,4
Beijing,283
Mexico City,285
Mexico City,414
Delhi,55
Delhi,210
Delhi,226
Tokyo,330
Mexico City,252
Delhi,342
Tokyo,203
Beijing,54
Beijing,25
Tokyo,27
Delhi,278
Delhi,215
Mexico City,125
Delhi,305
Mexico City,220
Delhi,154
Delhi,45
Delhi,60
Beijing,81
Delhi,84
Delhi,307
London,308
Beijing,496
Beijing,40
Delhi,490
Beijing,364
Delhi,57
Mexico City,284
Delhi,289
Tokyo,51
Tokyo,451
Delhi,353
Delhi,199
Delhi,209
Mexico City,402
Delhi,305
London,71
Los Angeles,301
London,492
Beijing,436
São Paulo,321
Delhi,269
Beijing,308
Beijing,137
Tokyo,290
Mexico City,418
London,451
Delhi,296
Cairo,154
Beijing,108
Beijing,106
Cairo,116
Beijing,267
Beijing,221
Mexico City,492
Delhi,308
Beijing,491
Delhi,459
Delhi,45
London,133
Mexico City,23
Beijing,320
Beijing,404
Beijing,457
Mexico City,321
Tokyo,118
Tokyo,312
Beijing,129
Beijing,349
Beijing,18
Mexico City,15
Beijing,306
Mexico City,205
Mexico City,68
Beijing,239
Beijing,311
Beijing,329
Delhi,16
Delhi,290
Los Angeles,38
Beijing,377
Delhi,361
Mexico City,271
Los Angeles,404
Delhi,316
London,298
Tokyo,2
Mexico City,95
Mexico City,318
Delhi,473
Tokyo,255
Beijing,495
Tokyo,206
Mexico City,66
Delhi,348
Delhi,359
Mexico City,1
Mexico City,439
Delhi,384
Los Angeles,294
London,443
Beijing,363
Beijing,56
Delhi,330
Los Angeles,177
Beijing,492
London,434
Beijing,355
Mexico City,31
Delhi,454
Delhi,113
Los Angeles,394
Beijing,402
Beijing,248
Cairo,178
Cairo,103
London,169
Delhi,37
Mexico City,199
London,208
Beijing,483
Delhi,228
London,28
Beijing,72
Mexico City,183
São Paulo,150
Mexico City,180
Beijing,222
Beijing,489
Beijing,23
Delhi,143
Los Angeles,164
London,472
Delhi,321
Beijing,201
London,17
Delhi,228
Beijing,431
Beijing,338
Mexico City,463
Delhi,240
Mexico City,141
Beijing,108
Mexico City,304
Delhi,419
Beijing,289
Beijing,141
Delhi,308
Delhi,428
Delhi,297
Beijing,484
Delhi,131
Tokyo,266
Beijing,119
London,87
Cairo,58
Delhi,81
Mexico City,159
London,425
Mexico City,98
Beijing,141
Beijing,365
Delhi,247
Beijing,326
São Paulo,392
Cairo,230
Delhi,27
Los Angeles,232
Beijing,216
Tokyo,470
Delhi,335
Tokyo,309
London,287
Delhi,191
Delhi,203
London,115
Delhi,176
Beijing,363
Tokyo,39
Mexico City,271
Beijing,302
Beijing,72
Delhi,29
Cairo,215
Beijing,260
Delhi,94
Delhi,66
Cairo,148
Delhi,19
London,309
Los Angeles,243
London,293
Cairo,152
London,299
Tokyo,244
Delhi,479
Los Angeles,81
Beijing,223
Beijing,483
Tokyo,472
Cairo,6
Los Angeles,170
Beijing,67
Beijing,344
Beijing,355
Beijing,281
Beijing,465
Delhi,16
Delhi,22
Los Angeles,466
Beijing,11
Tokyo,481
Mexico City,279
Delhi,315
Delhi,220
Delhi,316
Cairo,102
Delhi,52
Beijing,66
Tokyo,84
Cairo,426
Delhi,221
Delhi,61
Delhi,125
Delhi,347
Delhi,182
Mexico City,413
Tokyo,10
Beijing,11
Mexico City,387
Delhi,372
London,44
Mexico City,341
London,103
Tokyo,271
Beijing,369
Delhi,39
Delhi,497
Beijing,453
Tokyo,153
Beijing,454
Los Angeles,268
Beijing,170
Delhi,436
Beijing,168
Mexico City,214
Mexico City,273
Beijing,107
Delhi,437
Los Angeles,432
Delhi,466
Tokyo,433
Delhi,124
Delhi,291
Beijing,278
Beijing,401
Beijing,182
Beijing,266
São Paulo,109
Beijing,262
Beijing,1
Beijing,7
Delhi,146
Mexico City,351
Delhi,164
Mexico City,343
Delhi,327
São Paulo,149
Beijing,321
Tokyo,204
Beijing,489
Delhi,9
London,331
Mexico City,413
Los Angeles,76
Beijing,488
Mexico City,294
London,282
Mexico City,82
Beijing,298
Mexico City,76
Mexico City,201
Cairo,463
Beijing,116
Beijing,89
London,3
Beijing,238
Los Angeles,366
Beijing,453
Delhi,52
Los Angeles,303
Delhi,80
Delhi,229
Mexico City,131
Los Angeles,167
Tokyo,259
Delhi,62
Delhi,435
Cairo,429
Delhi,128
Delhi,401
Delhi,326
Beijing,459
Tokyo,378
Los Angeles,387
Los Angeles,254
Delhi,245
Beijing,113
Beijing,96
Delhi,267
Delhi,440
Beijing,250
Delhi,102
Mexico City,293
Los Angeles,234
Delhi,123
Beijing,329
Los Angeles,170
Los Angeles,424
London,405
Beijing,421
London,461
Delhi,182
Beijing,367
Delhi,60
Beijing,363
Beijing,244
Delhi,175
Los Angeles,436
Beijing,182
Delhi,144
Delhi,322
Beijing,269
Beijing,391
Beijing,78
Delhi,495
Los Angeles,371
Tokyo,168
Beijing,303
Mexico City,1
London,369
São Paulo,25
Mexico City,144
Tokyo,401
Tokyo,338
Los Angeles,266
Beijing,85
Delhi,377
Delhi,209
Beijing,326
Beijing,420
Beijing,497
Mexico City,255
Mexico City,303
London,449
Delhi,228
Delhi,408
Los Angeles,374
London,263
São Paulo,486
London,170
Tokyo,478
Beijing,373
Beijing,281
Delhi,375
Mexico City,137
Tokyo,259
Beijing,359
Mexico City,68
Delhi,494
Delhi,159
Delhi,373
Delhi,239
Tokyo,433
Beijing,471
London,55
Mexico City,386
Delhi,285
Delhi,388
London,448
Delhi,102
Tokyo,425
Delhi,77
Mexico City,157
London,486
Delhi,97
Delhi,143
Cairo,386
Delhi,327
Beijing,411
Beijing,376
Delhi,118
Los Angeles,261
Los Angeles,29
Beijing,37
London,392
Delhi,167
Delhi,246
Mexico City,465
São Paulo,349
Delhi,278
Delhi,275
Beijing,475
London,181
Delhi,80
Beijing,461
Los Angeles,34
Beijing,425
Delhi,329
Delhi,96
Beijing,139
Beijing,199
London,285
Mexico City,253
Mexico City,183
São Paulo,273
Beijing,124
Beijing,0
Tokyo,44
Delhi,170
Los Angeles,276
Los Angeles,55
Delhi,26
Beijing,383
Delhi,359
Delhi,243
Beijing,131
Delhi,312
Los Angeles,70
Tokyo,5
London,415
Delhi,382
Delhi,450
Delhi,413
Delhi,63
Tokyo,28
Beijing,475
Delhi,441
London,234
Beijing,282
Delhi,59
Delhi,108
Mexico City,184
Los Angeles,116
Delhi,274
Tokyo,193
London,131
London,117
Delhi,390
Delhi,322
London,58
Beijing,378
Mexico City,442
Los Angeles,127
Delhi,208
Los Angeles,54
Tokyo,488
Los Angeles,360
Beijing,223
London,43
Beijing,8
Los Angeles,228
London,195
Los Angeles,215
Delhi,197
Delhi,475
Delhi,179
Beijing,205
Beijing,376
Mexico City,174
Beijing,292
Los Angeles,365
Tokyo,452
Delhi,15
Los Angeles,312
Mexico City,265
Beijing,292
Delhi,491
Los Angeles,135
Cairo,410
Los Angeles,330
Tokyo,208
São Paulo,350
Beijing,390
Mexico City,22
Beijing,276
São Paulo,25
Delhi,14
Beijing,104
London,100
Delhi,291
Los Angeles,414
Beijing,317
Cairo,421
Tokyo,178
Beijing,452
Los Angeles,122
Beijing,369
Mexico City,82
Mexico City,290
London,150
Delhi,307
Delhi,226
Los Angeles,55
Mexico City,299
Beijing,372
Delhi,435
Beijing,455
London,317
Delhi,321
Beijing,273
Tokyo,466
Delhi,172
Los Angeles,249
Delhi,215
London,164
Los Angeles,322
Tokyo,29
Delhi,318
Beijing,418
Los Angeles,105
Delhi,119
Delhi,404
Delhi,147
Cairo,414
Los Angeles,313
Mexico City,490
Los Angeles,238
Beijing,447
Beijing,461
Beijing,50
Mexico City,108
Delhi,217
Tokyo,136
London,28
Beijing,485
Mexico City,384
Delhi,175
Cairo,436
Tokyo,466
Tokyo,244
Beijing,66
Delhi,92
Delhi,413
Delhi,229
Delhi,254
Delhi,65
São Paulo,16
Delhi,45
Delhi,351
London,61
Mexico City,420
Los Angeles,50
Mexico City,91
Tokyo,446
Mexico City,265
Beijing,15
Los Angeles,96
Beijing,141
Beijing,134
Beijing,102
Delhi,173
Los Angeles,222
Delhi,44
Delhi,127
Delhi,491
London,125
Beijing,80
Mexico City,446
London,40
Delhi,330
Los Angeles,30
Beijing,148
Delhi,339
Mexico City,160
Tokyo,310
Delhi,184
Mexico City,171
Delhi,197
Mexico City,24
Mexico City,93
Mexico City,300
Mexico City,174
Delhi,484
Mexico City,437
Mexico City,369
Mexico City,359
Delhi,399
Beijing,19
Beijing,102
Delhi,404
Delhi,460
Beijing,203
Los Angeles,267
Delhi,362
London,222
Beijing,196
Los Angeles,496
Beijing,387
Beijing,466
Mexico City,331
Tokyo,42
Beijing,336
Beijing,187
Mexico City,440
Los Angeles,459
Delhi,412
Beijing,270
Beijing,246
Tokyo,153
Beijing,330
Beijing,309
Cairo,189
Beijing,479
Delhi,329
Delhi,138
Delhi,133
Delhi,72
Beijing,286
Los Angeles,213
Los Angeles,407
Delhi,47
Mexico City,252
Delhi,49
Tokyo,341
Delhi,282
Mexico City,143
Beijing,495
Mexico City,409
Beijing,97
Los Angeles,236
Delhi,344
Tokyo,198
Beijing,233
Los Angeles,15
London,242
São Paulo,49
Delhi,420
Delhi,62
Delhi,31
Delhi,242
Mexico City,200
São Paulo,38
São Paulo,290
Beijing,310
Mexico City,298
London,78
Tokyo,16
Delhi,311
Beijing,481
London,256
Beijing,372
Beijing,142
São Paulo,40
São Paulo,232
Tokyo,32
Los Angeles,230
Delhi,164
Beijing,66
Beijing,462
Mexico City,231
Beijing,321
Mexico City,320
Beijing,441
Los Angeles,346
Beijing,139
Beijing,446
Delhi,414
Delhi,361
London,77
Beijing,266
Delhi,490
Los Angeles,149
Mexico City,448
Delhi,233
Beijing,261
Delhi,487
Mexico City,144
Delhi,472
Delhi,405
Delhi,368
Mexico City,24
Delhi,16
London,166
Delhi,32
Mexico City,168
Beijing,487
Beijing,395
Delhi,405
London,297
Tokyo,244
Delhi,198
Delhi,200
Tokyo,206
Beijing,91
Delhi,24
Delhi,259
Mexico City,259
Los Angeles,325
Mexico City,93
Cairo,64
Beijing,475
Beijing,236
Beijing,138
Beijing,177
Delhi,28
Delhi,444
Beijing,401
Los Angeles,355
Delhi,396
Beijing,451
Mexico City,324
Mexico City,178
Los Angeles,47
London,81
Los Angeles,222
Delhi,415
Beijing,168
Mexico City,211
Delhi,473
Delhi,286
Delhi,443
Beijing,360
Beijing,258
Delhi,310
